nombre,precios,stock,enlaces
Extensor Cable Riser PEC 300 PCI-E x16 ,$ 29.990,13,https://www.pcfactory.cl/producto/35084-deepcool-extensor-cable-riser-pec-300-pci-e-x16
NVIDIA GeForce n210 1024MB DDR3,$ 49.990,1,https://www.pcfactory.cl/producto/15614-msi-video-nvidia-geforce-n210-1024mb-ddr3
NVIDIA GeForce GT710 1GB GDDR5,$ 59.990,+100,https://www.pcfactory.cl/producto/36075-asus-video-nvidia-geforce-gt710-1gb-gddr5
NVIDIA GeForce GT710 SL-2GD5-CSM,$ 84.990,17,https://www.pcfactory.cl/producto/26690-asus-video-nvidia-geforce-gt710-sl-2gd5-csm
NVIDIA GT730 2GB Low Profile,$ 95.990,+100,https://www.pcfactory.cl/producto/43493-palit-video-nvidia-gt730-2gb-low-profile
NVIDIA GT730K 2GB D3H/LPV1,$ 99.990,27,https://www.pcfactory.cl/producto/42354-msi-video-nvidia-gt730k-2gb-d3h-lpv1
NVIDIA GT730 2GB SL BRK,$ 99.990,+100,https://www.pcfactory.cl/producto/44350-asus-video-nvidia-gt730-2gb-sl-brk
NVIDIA GeForce GT1030 2GB DDR4,$ 149.990,4,https://www.pcfactory.cl/producto/43751-palit-video-nvidia-geforce-gt1030-2gb-ddr4
NVIDIA GeForce GT1030 2GB Phoenix,$ 159.990,14,https://www.pcfactory.cl/producto/35635-asus-video-nvidia-geforce-gt1030-2gb-phoenix
AMD Radeon PRO WX2100 2GB,$ 169.990,+30,https://www.pcfactory.cl/producto/42900-amd-video-amd-radeon-pro-wx2100-2gb
NVIDIA Quadro P400 2GB GDDR5 V2,$ 179.990,4,https://www.pcfactory.cl/producto/37862-pny-video-nvidia-quadro-p400-2gb-gddr5-v2
NVIDIA Quadro T400 2GB GDDR6,$ 189.990,24,https://www.pcfactory.cl/producto/43469-pny-video-nvidia-quadro-t400-2gb-gddr6
NVIDIA Quadro P620 V2 2GB GDDR5,$ 269.990,1,https://www.pcfactory.cl/producto/36428-pny-video-nvidia-quadro-p620-v2-2gb-gddr5
NVIDIA Quadro T600 4GB GDDR6,$ 269.990,15,https://www.pcfactory.cl/producto/43472-pny-video-nvidia-quadro-t600-4gb-gddr6
NVIDIA GeForce GTX1650 4GB StormX,$ 289.990,+100,https://www.pcfactory.cl/producto/43750-palit-video-nvidia-geforce-gtx1650-4gb-stormx
NVIDIA GeForce GTX1050Ti 4GT OC,$ 299.990,+50,https://www.pcfactory.cl/producto/28293-msi-video-nvidia-geforce-gtx1050ti-4gt-oc
NVIDIA GeForce GTX1050Ti 4GB D5,$ 299.990,8,https://www.pcfactory.cl/producto/43027-gigabyte-video-nvidia-geforce-gtx1050ti-4gb-d5
NVIDIA GeForce GTX1050Ti 4GB PHOENIX Fan,$ 329.990,+50,https://www.pcfactory.cl/producto/24736-asus-video-nvidia-geforce-gtx1050ti-4gb-phoenix-fan
NVIDA GeForce GTX1650 4GB Ex-Click OC,$ 329.990,+50,https://www.pcfactory.cl/producto/43786-galax-video-nvida-geforce-gtx1650-4gb-ex-click-oc
NVIDIA GeForce GTX1050Ti 4GB Low Profile OC,$ 329.990,1,https://www.pcfactory.cl/producto/43028-gigabyte-video-nvidia-geforce-gtx1050ti-4gb-low-profile-oc
NVIDIA GeForce GTX1650 4GB GP,$ 339.990,+50,https://www.pcfactory.cl/producto/43492-palit-video-nvidia-geforce-gtx1650-4gb-gp
NVIDIA GeForce GTX1650 4GB WindForce D6 v2.0,$ 399.990,+50,https://www.pcfactory.cl/producto/39512-gigabyte-video-nvidia-geforce-gtx1650-4gb-windforce-d6-v2-0
NVIDIA GeForce GTX1650 O4GB Dual ,$ 399.990,+50,https://www.pcfactory.cl/producto/33323-asus-video-nvidia-geforce-gtx1650-o4gb-dual
NVIDIA GeForce GTX1650 4GB D6 Ventus XS OC,$ 399.990,1,https://www.pcfactory.cl/producto/37813-msi-video-nvidia-geforce-gtx1650-4gb-d6-ventus-xs-oc
NVIDA GeForce GTX1650 4GB XS Ventus OC,$ 399.990,+50,https://www.pcfactory.cl/producto/44256-msi-video-nvida-geforce-gtx1650-4gb-xs-ventus-oc
AMD Radeon RX 6500XT O4GB TUF Gaming ,$ 439.990,+50,https://www.pcfactory.cl/producto/44916-asus-video-amd-radeon-rx-6500xt-o4gb-tuf-gaming
NVIDIA GeForce GTX1660S 6GB Phoenix,$ 499.990,12,https://www.pcfactory.cl/producto/37103-asus-video-nvidia-geforce-gtx1660s-6gb-phoenix
NVIDIA GeForce GTX1660S 6GB Ventus XS OC,$ 559.990,16,https://www.pcfactory.cl/producto/38282-msi-video-nvidia-geforce-gtx1660s-6gb-ventus-xs-oc
NVIDIA GeForce GTX1660S 6GB TUF Gaming ,$ 569.990,15,https://www.pcfactory.cl/producto/43640-asus-video-nvidia-geforce-gtx1660s-6gb-tuf-gaming
AMD Radeon RX 6600 Dual 8GB,$ 589.990,7,https://www.pcfactory.cl/producto/43993-asus-video-amd-radeon-rx-6600-dual-8gb
NVIDIA GeForce GTX1660Ti 6GB StormX,$ 599.990,+30,https://www.pcfactory.cl/producto/43480-palit-video-nvidia-geforce-gtx1660ti-6gb-stormx
NVIDIA GeForce GTX1660Ti 6GB Dual ,$ 599.990,+50,https://www.pcfactory.cl/producto/43491-palit-video-nvidia-geforce-gtx1660ti-6gb-dual
NVIDIA Minería CMP 30HX d6 6G,$ 599.990,+100,https://www.pcfactory.cl/producto/42726-gigabyte-nvidia-mineria-cmp-30hx-d6-6g
NVIDIA GeForce RTX3050 Dual 8GB ,$ 599.990,+30,https://www.pcfactory.cl/producto/44816-palit-video-nvidia-geforce-rtx3050-dual-8gb
NVIDIA GeForce GTX1660 6GB Dual,$ 609.990,16,https://www.pcfactory.cl/producto/44817-palit-video-nvidia-geforce-gtx1660-6gb-dual
NVIDIA GeForce GTX1660Ti 1-Click OC,$ 629.990,12,https://www.pcfactory.cl/producto/35241-galax-video-nvidia-geforce-gtx1660ti-1-click-oc
