,nombre,precios,stock,enlaces
0,Bracket para BITFENIX Alchemy 3.0 ARGB compatible con Aura Sync,$14.990,+20,https://www.spdigital.cl/products/view/76568
1,"Tarjeta de video Radeon ASRock Phantom Gaming RX 550, 2GB, GDDR5, 128-Bit, PCI-e 3.0",$179.990,+20,https://www.spdigital.cl/products/view/80886
2,Bracket Vertical Sharkoon PCI-E para en Elite Shark CA200,$23.990,+20,https://www.spdigital.cl/products/view/77081
3,"PNY Nvidia GeForce  GTX1650 4GB GDDR6 Dual Fan PB, 128-bit, PCI-Express 3.0 x16",$429.990,+20,https://www.spdigital.cl/products/view/77576
4,"Zotac GeForce RTX 3050 Twin Edge, 8GB, GDDR6, 128Bits, PCI-e 4.0, HDMI",$599.990,+20,https://www.spdigital.cl/products/view/83537
5,"MSI AMD Radeon RX 6900 XT Gaming Z Trio, 16GB GDDR6, 2425MHz 16Gbps",$1.837.590,+20,https://www.spdigital.cl/products/view/82691
6,"Tarjeta de video Zotac GeForce GTX 1650 AMP, 4GB, GDDR6, 128-Bit, HDMI",$379.990,+20,https://www.spdigital.cl/products/view/81380
7,"ASUS Nvidia GeForce GT 730, 2GB GDDR5",$90.190,+20,https://www.spdigital.cl/products/view/83185
8,EVGA NVIDIA GeForce 210 1GB GDDR3 HDMI PCI-E,$29.990,+20,https://www.spdigital.cl/products/view/44065
9,"Zotac GeForce GTX 1660 SUPER AMP, 6GB GDDR6",$589.990,+20,https://www.spdigital.cl/products/view/82570
10,"MSI Radeon RX 6900 XT Gaming Z Trio, 16GB GDDR6, PCIe 4.0, DP x 3, HDMI x 1",$2.510.290,13,https://www.spdigital.cl/products/view/82631
11,"Gigabyte GeForce GTX 1660 Super OC, 6GB, PCI-e 3.0, GDDR6, 192Bit, HDMI",$549.990,7,https://www.spdigital.cl/products/view/75781
12,Bracket Vertical Sharkoon Elite PCI-E 3.0 Para tarjetas de video ,$23.990,2,https://www.spdigital.cl/products/view/80612
13,MSI GeForce® N210-MD1G/ D3 DDR3 64 bits PCI Express x16 2.0,$46.390,1,https://www.spdigital.cl/products/view/38673
14,"Gigabyte GeForce RTX 3070Ti Gaming OC, 8GB, GDDR6X, 256Bits, PCI-e 4.0, HDMI",$1.249.990,1,https://www.spdigital.cl/products/view/83412
15,"Gigabyte GeForce RTX 3080Ti Vision OC, 12GB, GDDR6X, 384Bits, PCI-e 4.0, HDMI",$1.799.990,1,https://www.spdigital.cl/products/view/83414
