,nombre,precios,stock,enlaces
0,Gigabyte GeForce GTX 1660 SUPER OC 6GB,$545.450,4,https://tecno-master.cl/producto/gigabyte-geforce-gtx-1660-super-oc-6gb/
1,Gigabyte NVIDIA GeForce GTX 1660 Ti OC,$614.990,1,https://tecno-master.cl/producto/gigabyte-nvidia-geforce-gtx-1660-ti-oc/
2,Gigabyte GeForce RTX 3080 Ti VISION OC 12GB,$1.789.800,2,https://tecno-master.cl/producto/gigabyte-geforce-rtx-3080-ti-vision-oc-12gb/
3,Gigabyte GeForce NVIDIA GT 730,$108.900,1,https://tecno-master.cl/producto/gigabyte-geforce-nvidia-gt-730/
4,MSI Radeon RX 6900 XT GAMING Z TRIO 16G,$1.628.890,2,https://tecno-master.cl/producto/msi-radeon-rx-6900-xt-gaming-z-trio-16g/
5,Teclado Thermaltake Neptune Pro Blue Light (KB-NPP-TBBLSP-01),$54.980,3,https://tecno-master.cl/producto/teclado-thermaltake-neptune-pro-blue-light-kb-npp-tbblsp-01/
6,ARMADO DE PC N° 34 [i5-9500],$392.990,1,https://tecno-master.cl/producto/armado-de-pc-n-34-i5-9500/
7,"Intel Core i3-10105F (LGA1200, 3.7GHz, 4 Núcleos, Sin Gráficos)",$89.050,4,https://tecno-master.cl/producto/intel-core-i3-10105f-lga1200-3-7ghz-4-nucleos-sin-graficos/
8,"Intel Core i3-12100F (LGA1700, 4 Cores, 8 Hilos, 3.30/4.30 GHz, Sin Video)",$124.990,4,https://tecno-master.cl/producto/intel-core-i3-12100f-lga1700-4-cores-8-hilos-3-30-4-30-ghz-sin-video/
9,MSI GeForce GTX 1650 VENTUS XS 4G OC,$395.000,1,https://tecno-master.cl/producto/msi-geforce-gtx-1650-ventus-xs-4g-oc-4gb-128-bit-gddr5-pci-express-3-0-x16/
