nombre,precios,stock,enlaces
(1GB GDDR3),$ 43.776,5,https://www.winpy.cl/venta/tarjeta-de-video-msi-n210-md1g-d3-1gb-gddr3/
MSI GEFORCE RTX 3080 TI GAMING X TRIO DE 12GB GDDR6X,$ 2.104.896,3,https://www.winpy.cl/venta/tarjeta-de-video-msi-geforce-rtx-3080-ti-gaming-x-trio-de-12gb-gddr6x/
ASUS ROG STRIX GEFORCE RTX 3090 OC WHITE EDITION DE 24GB GDDR6X,$ 3.099.584,1,https://www.winpy.cl/venta/tarjeta-de-video-asus-rog-strix-geforce-rtx-3090-oc-white-edition-de-24gb-gddr6x/
ZOTAC GAMING GEFORCE RTX 3080 TI TRINITY DE 12GB GDDR6X,$ 2.047.136,1,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-3080-ti-trinity-de-12gb-gddr6x/
MSI AMD RADEON RX 6900 XT GAMING Z TRIO 16GB GDDR6,$ 1.768.672,33,https://www.winpy.cl/venta/tarjeta-de-video-msi-amd-radeon-rx-6900-xt-gaming-z-trio-16gb-gddr6/
ZOTAC GAMING GEFORCE RTX 3070 TWIN EDGE LHR DE 8GB GDDR6,$ 1.210.528,1,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-3070-twin-edge-lhr-de-8gb-gddr6/
ASUS TUF GAMING GEFORCE RTX 3080 TI DE 12GB GDDR6X,$ 2.321.344,4,https://www.winpy.cl/venta/tarjeta-de-video-asus-tuf-gaming-geforce-rtx-3080-ti-de-12gb-gddr6x/
ZOTAC GAMING GEFORCE RTX 3080 TRINITY LHR DE 10GB GDDR6X,$ 1.699.968,4,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-3080-trinity-lhr-de-10gb-gddr6x/
ZOTAC GAMING GEFORCE RTX 3060 TI TWIN EDGE LHR DE 8GB GDDR6,$ 929.632,10,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-3060-ti-twin-edge-lhr-de-8gb-gddr6/
ZOTAC GAMING GEFORCE RTX 3060 TWIN EDGE DE 12GB GDDR6,$ 759.392,9,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-3060-twin-edge-de-12gb-gddr6/
ASUS DUAL RADEON RX 6600 DE 8GB GDDR6,$ 649.952,2,https://www.winpy.cl/venta/tarjeta-de-video-asus-dual-radeon-rx-6600-de-8gb-gddr6/
ZOTAC GEFORCE GTX 1660 SUPER AMP DE 6GB GDDR6,$ 629.888,25,https://www.winpy.cl/venta/tarjeta-de-video-zotac-geforce-gtx-1660-super-amp-de-6gb-gddr6/
ZOTAC GAMING GEFORCE RTX 2060 BLACK DE 6GB GDDR6,$ 604.960,10,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-2060-black-de-6gb-gddr6/
ZOTAC GAMING GEFORCE GTX 1650 AMP DE 4GB GDDR6,$ 399.456,30,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-gtx-1650-amp-de-4gb-gddr6/
ASUS GEFORCE GT 730 DE 2GB GDDR5,$ 107.616,31,https://www.winpy.cl/venta/tarjeta-de-video-asus-geforce-gt-730-de-2gb-gddr5/
